"['22', '22', '23', '21', '17', '16', '19', '16', '19', '20', '17', '17', '16', '16', '0']"
"['22', '23', '21', '17', '16', '19', '16', '19', '20', '17', '17', '16', '16', '16', '1']"
"['23', '21', '17', '16', '19', '16', '19', '20', '17', '17', '16', '16', '16', '16', '1']"
"['21', '17', '16', '19', '16', '19', '20', '17', '17', '16', '16', '16', '16', '16', '0']"
"['17', '16', '19', '16', '19', '20', '17', '17', '16', '16', '16', '16', '16', '16', '0']"
"['16', '19', '16', '19', '20', '17', '17', '16', '16', '16', '16', '16', '16', '16', '0']"
"['19', '16', '19', '20', '17', '17', '16', '16', '16', '16', '16', '16', '16', '14', '1']"
"['16', '19', '20', '17', '17', '16', '16', '16', '16', '16', '16', '16', '14', '15', '1']"
"['19', '20', '17', '17', '16', '16', '16', '16', '16', '16', '16', '14', '15', '17', '1']"
"['20', '17', '17', '16', '16', '16', '16', '16', '16', '16', '14', '15', '17', '15', '1']"
"['17', '17', '16', '16', '16', '16', '16', '16', '16', '14', '15', '17', '15', '13', '1']"
"['17', '16', '16', '16', '16', '16', '16', '16', '14', '15', '17', '15', '13', '15', '1']"
"['16', '16', '16', '16', '16', '16', '16', '14', '15', '17', '15', '13', '15', '14', '0']"
"['16', '16', '16', '16', '16', '16', '14', '15', '17', '15', '13', '15', '14', '12', '0']"
"['16', '16', '16', '16', '16', '14', '15', '17', '15', '13', '15', '14', '12', '14', '1']"
"['16', '16', '16', '16', '14', '15', '17', '15', '13', '15', '14', '12', '14', '14', '0']"
"['16', '16', '16', '14', '15', '17', '15', '13', '15', '14', '12', '14', '14', '15', '1']"
"['16', '16', '14', '15', '17', '15', '13', '15', '14', '12', '14', '14', '15', '15', '0']"
"['16', '14', '15', '17', '15', '13', '15', '14', '12', '14', '14', '15', '15', '13', '0']"
"['14', '15', '17', '15', '13', '15', '14', '12', '14', '14', '15', '15', '13', '17', '0']"
"['15', '17', '15', '13', '15', '14', '12', '14', '14', '15', '15', '13', '17', '16', '0']"
"['17', '15', '13', '15', '14', '12', '14', '14', '15', '15', '13', '17', '16', '15', '1']"
"['15', '13', '15', '14', '12', '14', '14', '15', '15', '13', '17', '16', '15', '17', '0']"
"['13', '15', '14', '12', '14', '14', '15', '15', '13', '17', '16', '15', '17', '16', '1']"
"['15', '14', '12', '14', '14', '15', '15', '13', '17', '16', '15', '17', '16', '15', '1']"
"['14', '12', '14', '14', '15', '15', '13', '17', '16', '15', '17', '16', '15', '16', '1']"
"['12', '14', '14', '15', '15', '13', '17', '16', '15', '17', '16', '15', '16', '13', '1']"
"['14', '14', '15', '15', '13', '17', '16', '15', '17', '16', '15', '16', '13', '14', '1']"
"['14', '15', '15', '13', '17', '16', '15', '17', '16', '15', '16', '13', '14', '15', '0']"
"['15', '15', '13', '17', '16', '15', '17', '16', '15', '16', '13', '14', '15', '15', '1']"
"['15', '13', '17', '16', '15', '17', '16', '15', '16', '13', '14', '15', '15', '14', '0']"
"['13', '17', '16', '15', '17', '16', '15', '16', '13', '14', '15', '15', '14', '33', '0']"
"['17', '16', '15', '17', '16', '15', '16', '13', '14', '15', '15', '14', '33', '54', '1']"
"['16', '15', '17', '16', '15', '16', '13', '14', '15', '15', '14', '33', '54', '35', '1']"
"['15', '17', '16', '15', '16', '13', '14', '15', '15', '14', '33', '54', '35', '25', '0']"
"['17', '16', '15', '16', '13', '14', '15', '15', '14', '33', '54', '35', '25', '22', '1']"
