"['104.52', '108.11', '111.43', '113.84', '112.92', '111.21', '112.55', '113.13', '114.43', '122.06', '121.7', '120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '0']"
"['108.11', '111.43', '113.84', '112.92', '111.21', '112.55', '113.13', '114.43', '122.06', '121.7', '120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '0']"
"['111.43', '113.84', '112.92', '111.21', '112.55', '113.13', '114.43', '122.06', '121.7', '120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '1']"
"['113.84', '112.92', '111.21', '112.55', '113.13', '114.43', '122.06', '121.7', '120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '0']"
"['112.92', '111.21', '112.55', '113.13', '114.43', '122.06', '121.7', '120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '1']"
"['111.21', '112.55', '113.13', '114.43', '122.06', '121.7', '120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '0']"
"['112.55', '113.13', '114.43', '122.06', '121.7', '120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '0']"
"['113.13', '114.43', '122.06', '121.7', '120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '0']"
"['114.43', '122.06', '121.7', '120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '0']"
"['122.06', '121.7', '120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '1']"
"['121.7', '120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '0']"
"['120.57', '127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '1']"
"['127.83', '134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '1']"
"['134.31', '131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '1']"
"['131.89', '132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '1']"
"['132.11', '132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '1']"
"['132.48', '126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '0']"
"['126.74', '122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '1']"
"['122.25', '120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '0']"
"['120.79', '120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '0']"
"['120.98', '121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '1']"
"['121.07', '124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '1']"
"['124.93', '126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '0']"
"['126.57', '129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '1']"
"['129', '130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '0']"
"['130.6', '129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '1']"
"['129.69', '127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '1']"
"['127.37', '128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '1']"
"['128.29', '127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '1']"
"['127.87', '129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '0']"
"['129.67', '129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '1']"
"['129.39', '127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '1']"
"['127.23', '126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '1']"
"['126.31', '125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '1']"
"['125.84', '126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '1']"
"['126.13', '125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '1']"
"['125.16', '125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '1']"
"['125.92', '127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '1']"
"['127.22', '127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '1']"
"['127.68', '129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '1']"
"['129.85', '132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '1']"
"['132.96', '129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '0']"
"['129.74', '129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '0']"
"['129.84', '127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '1']"
"['127.69', '111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '1']"
"['111.32', '122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '1']"
"['122.84', '126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '1']"
"['126.11', '124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '0']"
"['124.17', '125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '1']"
"['125.45', '124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '0']"
"['124.77', '127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '1']"
"['127.2', '127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '1']"
"['127.89', '129.28', '133.07', '132.18', '135.38', '138.33', '141.6', '146.54', '148.02', '158.35', '167.51', '171.37', '183.73', '195.52', '199.84', '185.46', '177.58', '186.44', '188.72', '195.37', '201.5', '198.65', '205.55', '203.25', '204.16', '212.03', '1']"
